,open,high,low,close,VWAP,Upper_Band_#1,Lower_Band_#1,Upper_Band_#2,Lower_Band_#2,Upper_Band_#3,Lower_Band_#3,Volume,RSI,RSI-based_MA,Histogram,MACD,Signal,ATR,MACD_Signal_Diff,Steps_Since_Crossover,Future_Movement
open,1.0,0.9998675342918152,0.9998988522116119,0.999821186441485,0.9907696321200762,0.992961286366771,0.9840117731286192,0.9903494058166945,0.9730971052789722,0.9828990622602582,0.9585608268048531,-0.027635705897424465,0.040194428536062886,0.052118054627304254,0.004076395476163691,0.04733734915894555,0.04816590681907218,-0.23636007626326427,0.0040763954682322134,-0.027679043812074436,-0.09308435699010188
high,0.9998675342918152,1.0,0.9997902014225278,0.9999151603036487,0.9906358214065557,0.9930116242756861,0.983697961087425,0.9905854802882452,0.9726096860204914,0.9833197562544804,0.9579080109641505,-0.020230025715754385,0.043364425944224266,0.05215804473412291,0.006320288867271476,0.047639388589622536,0.04791111111718537,-0.22982943972287032,0.006320288859176699,-0.028429305751862984,-0.09119244796884847
low,0.9998988522116119,0.9997902014225278,1.0,0.9998851709426124,0.9907216510623721,0.9927132162149345,0.98416027427085,0.9899004608872873,0.9734359658571825,0.9822513965348841,0.9590818502045688,-0.035501820520513275,0.043800804405949814,0.05290513435301605,0.0055052292027687804,0.04800214856210129,0.04849471456051787,-0.24295830493437034,0.005505229194955979,-0.027009004041773078,-0.09477054904910007
close,0.999821186441485,0.9999151603036487,0.9998851709426124,1.0,0.9906598544807417,0.9928527229581363,0.9839013150863362,0.990242596291539,0.9729864734882934,0.9827945287342951,0.9584504835377217,-0.02729649336781333,0.04585708663713615,0.052341342787518494,0.006959581279588376,0.04779801571846285,0.04791394842249243,-0.2357939639413588,0.006959581271582227,-0.027745746412258476,-0.09276012063434295
VWAP,0.9907696321200762,0.9906358214065557,0.9907216510623721,0.9906598544807417,1.0,0.997606107130258,0.997696981422116,0.9903404745185939,0.9910527729658395,0.9782355153315505,0.9805603914808871,-0.03377459650083943,-0.018323279026434706,-0.018008658051190327,-0.00794492414541675,-0.039418883268491994,-0.03895554040104502,-0.24392130669250867,-0.007944924149467502,-0.028542412790057967,-0.08894592441055657
Upper_Band_#1,0.992961286366771,0.9930116242756861,0.9927132162149345,0.9928527229581363,0.997606107130258,1.0,0.990618083682827,0.9975581656694464,0.9794504858753552,0.9902426859825197,0.9646441210658964,-0.010613423200342448,-0.013074389896576053,-0.011069057128991802,-0.01102051091118221,-0.030237464279627594,-0.028633521362443577,-0.2130807846304429,-0.01102051091598302,-0.030844883086698218,-0.08147448742389253
Lower_Band_#1,0.9840117731286192,0.983697961087425,0.98416027427085,0.9839013150863362,0.997696981422116,0.990618083682827,1.0,0.9786547818943704,0.9978234980438236,0.9619083235238719,0.9916113236248141,-0.05633533545479549,-0.023386472062182785,-0.024731662949054947,-0.004891257068469903,-0.04824121309240176,-0.048898792210742524,-0.273036987235246,-0.004891257071766177,-0.02615126259862028,-0.09586084549207008
Upper_Band_#2,0.9903494058166945,0.9905854802882452,0.9899004608872873,0.990242596291539,0.9903404745185939,0.9975581656694464,0.9786547818943704,1.0,0.9629730496008019,0.9975572123926033,0.9438817230123876,0.012829815619980629,-0.007709730557557265,-0.004006605835416639,-0.014073149724840531,-0.020817735576009716,-0.01806963633682895,-0.18089787552107506,-0.014073149730375567,-0.03302037422343367,-0.0735329715781752
Lower_Band_#2,0.9730971052789722,0.9726096860204914,0.9734359658571825,0.9729864734882934,0.9910527729658395,0.9794504858753552,0.9978234980438236,0.9629730496008019,1.0,0.9417881835608233,0.9979763664515106,-0.07801958231891908,-0.02820552144699016,-0.031158400812792305,-0.001900960414281805,-0.05660505765780625,-0.058349465900744225,-0.3001369530039232,-0.0019009604168300214,-0.023711176130786934,-0.10216027292501147
Upper_Band_#3,0.9828990622602582,0.9833197562544804,0.9822513965348841,0.9827945287342951,0.9782355153315505,0.9902426859825197,0.9619083235238719,0.9975572123926033,0.9417881835608233,1.0,0.9185043228868928,0.036214949571074254,-0.002306362709920693,0.0030767947538363153,-0.017057634847107872,-0.011294473983806296,-0.007415420132219543,-0.14782498885841658,-0.017057634853350035,-0.03503498174551051,-0.06523088483991876
Lower_Band_#3,0.9585608268048531,0.9579080109641505,0.9590818502045688,0.9584504835377217,0.9805603914808871,0.9646441210658964,0.9916113236248141,0.9438817230123876,0.9979763664515106,0.9185043228868928,1.0,-0.09860763401461005,-0.03273615872671354,-0.03722712648214071,0.0009903584034764428,-0.06443679494530745,-0.06722201930384385,-0.3250316179896993,0.0009903584016601025,-0.021260503665408968,-0.10781369450790494
Volume,-0.027635705897424465,-0.020230025715754385,-0.035501820520513275,-0.02729649336781333,-0.03377459650083943,-0.010613423200342448,-0.05633533545479549,0.012829815619980629,-0.07801958231891908,0.036214949571074254,-0.09860763401461005,1.0,-0.02538949539377592,-0.03091713520548004,-0.020792329911426745,-0.06750600912446711,-0.0648911273852575,0.6905643432512124,-0.02079232992920958,-0.10614626340284361,0.18948649871795256
RSI,0.040194428536062886,0.043364425944224266,0.043800804405949814,0.04585708663713615,-0.018323279026434706,-0.013074389896576053,-0.023386472062182785,-0.007709730557557265,-0.02820552144699016,-0.002306362709920693,-0.03273615872671354,-0.02538949539377592,1.0,0.7473156329739244,0.5979249747460403,0.6451168619354956,0.5189446318938106,0.016799706812536442,0.5979249747545738,-0.06246866743983856,-0.019707760211382725
RSI-based_MA,0.052118054627304254,0.05215804473412291,0.05290513435301605,0.052341342787518494,-0.018008658051190327,-0.011069057128991802,-0.024731662949054947,-0.004006605835416639,-0.031158400812792305,0.0030767947538363153,-0.03722712648214071,-0.03091713520548004,0.7473156329739244,1.0,0.26730424940027525,0.808385773462369,0.7724304078126711,-0.013792104656823291,0.267304249391217,-0.06580147838253055,-0.036093921156617303
Histogram,0.004076395476163691,0.006320288867271476,0.0055052292027687804,0.006959581279588376,-0.00794492414541675,-0.01102051091118221,-0.004891257068469903,-0.014073149724840531,-0.001900960414281805,-0.017057634847107872,0.0009903584034764428,-0.020792329911426745,0.5979249747460403,0.26730424940027525,1.0,0.27416736854729923,0.03150039078363217,0.09314070091126223,1.0000000000000002,-0.03492835566865913,-0.011960126173265603
MACD,0.04733734915894555,0.047639388589622536,0.04800214856210129,0.04779801571846285,-0.039418883268491994,-0.030237464279627594,-0.04824121309240176,-0.020817735576009716,-0.05660505765780625,-0.011294473983806296,-0.06443679494530745,-0.06750600912446711,0.6451168619354956,0.808385773462369,0.27416736854729923,1.0,0.969841126663185,0.04308964898451888,0.2741673685252768,-0.0022180835806823464,-0.050372050520853244
Signal,0.04816590681907218,0.04791111111718537,0.04849471456051787,0.04791394842249243,-0.03895554040104502,-0.028633521362443577,-0.048898792210742524,-0.01806963633682895,-0.058349465900744225,-0.007415420132219543,-0.06722201930384385,-0.0648911273852575,0.5189446318938106,0.7724304078126711,0.03150039078363217,0.969841126663185,1.0,0.021177834064877523,0.03150039076074375,0.006547261026311145,-0.04932448332232728
ATR,-0.23636007626326427,-0.22982943972287032,-0.24295830493437034,-0.2357939639413588,-0.24392130669250867,-0.2130807846304429,-0.273036987235246,-0.18089787552107506,-0.3001369530039232,-0.14782498885841658,-0.3250316179896993,0.6905643432512124,0.016799706812536442,-0.013792104656823291,0.09314070091126223,0.04308964898451888,0.021177834064877523,1.0,0.09314070089352323,-0.06970301039007001,0.2324582233099813
MACD_Signal_Diff,0.0040763954682322134,0.006320288859176699,0.005505229194955979,0.006959581271582227,-0.007944924149467502,-0.01102051091598302,-0.004891257071766177,-0.014073149730375567,-0.0019009604168300214,-0.017057634853350035,0.0009903584016601025,-0.02079232992920958,0.5979249747545738,0.267304249391217,1.0000000000000002,0.2741673685252768,0.03150039076074375,0.09314070089352323,1.0,-0.03492835566166662,-0.01196012616698709
Steps_Since_Crossover,-0.027679043812074436,-0.028429305751862984,-0.027009004041773078,-0.027745746412258476,-0.028542412790057967,-0.030844883086698218,-0.02615126259862028,-0.03302037422343367,-0.023711176130786934,-0.03503498174551051,-0.021260503665408968,-0.10614626340284361,-0.06246866743983856,-0.06580147838253055,-0.03492835566865913,-0.0022180835806823464,0.006547261026311145,-0.06970301039007001,-0.03492835566166662,1.0,-0.024025931082406846
Future_Movement,-0.09308435699010188,-0.09119244796884847,-0.09477054904910007,-0.09276012063434295,-0.08894592441055657,-0.08147448742389253,-0.09586084549207008,-0.0735329715781752,-0.10216027292501147,-0.06523088483991876,-0.10781369450790494,0.18948649871795256,-0.019707760211382725,-0.036093921156617303,-0.011960126173265603,-0.050372050520853244,-0.04932448332232728,0.2324582233099813,-0.01196012616698709,-0.024025931082406846,1.0
